Year,Rank,SpacerGIR,Player, GreensRate ,GreensHit,GreensPossible
1987,1,-,Gil Morgan, 0.7330 ,660,900
1987,2,-,Bruce Lietzke, 0.7290 ,905,"1,242"
1987,3,-,Hal Sutton, 0.7190 ,"1,165","1,620"
1987,4,-,Wayne Levi, 0.7140 ,"1,067","1,494"
1987,5,-,John Mahaffey, 0.7130 ,"1,322","1,854"
1987,6,-,Dan Pohl, 0.7130 ,"1,232","1,728"
1987,7,-,Mike Reid, 0.7130 ,"1,270","1,782"
1987,8,-,Tim Simpson, 0.7100 ,"1,406","1,980"
1987,9,-,Mark McCumber, 0.7070 ,"1,311","1,854"
1987,10,-,Dave Barr, 0.7050 ,"1,193","1,692"
1987,11,-,Tom Watson, 0.7050 ,850,"1,206"
1987,12,-,Fred Couples, 0.7040 ,"1,153","1,638"
1987,13,-,Russ Cochran, 0.7030 ,"1,392","1,980"
1987,13,-,Jay Haas, 0.7030 ,"1,316","1,872"
1987,15,-,Curtis Strange, 0.7020 ,"1,238","1,764"
1987,16,-,Mark O'Meara, 0.7010 ,"1,098","1,566"
1987,17,-,Curt Byrum, 0.7010 ,"1,400","1,998"
1987,18,-,Kenny Perry, 0.7010 ,971,"1,386"
1987,19,-,David Edwards, 0.6990 ,830,"1,188"
1987,20,-,Paul Azinger, 0.6970 ,"1,191","1,710"
1987,21,-,Bobby Wadkins, 0.6930 ,"1,272","1,836"
1987,22,-,Calvin Peete, 0.6920 ,797,"1,152"
1987,23,-,Scott Hoch, 0.6910 ,"1,207","1,746"
1987,24,-,Bill Glasson, 0.6910 ,"1,144","1,656"
1987,24,-,Doug Tewell, 0.6910 ,945,"1,368"
1987,26,-,Richard Zokol, 0.6910 ,746,"1,080"
1987,27,-,John McComish, 0.6910 ,870,"1,260"
1987,28,-,Lennie Clements, 0.6870 ,965,"1,404"
1987,29,-,"Don Shirey, Jr.", 0.6860 ,"1,037","1,512"
1987,30,-,Clarence Rose, 0.6860 ,"1,407","2,052"
1987,31,-,Harry Taylor, 0.6850 ,999,"1,458"
1987,32,-,Mac O'Grady, 0.6830 ,"1,070","1,566"
1987,33,-,Andrew Magee, 0.6830 ,"1,156","1,692"
1987,34,-,Bobby Cole, 0.6830 ,"1,192","1,746"
1987,34,-,Mike Hulbert, 0.6830 ,"1,401","2,052"
1987,36,-,Steve Pate, 0.6830 ,"1,425","2,088"
1987,36,-,Lanny Wadkins, 0.6830 ,"1,032","1,512"
1987,38,-,Donnie Hammond, 0.6820 ,"1,044","1,530"
1987,39,-,Tom Purtzer, 0.6820 ,"1,142","1,674"
1987,40,-,Ben Crenshaw, 0.6820 ,"1,019","1,494"
1987,41,-,Ed Dougherty, 0.6820 ,"1,031","1,512"
1987,42,-,Joey Sindelar, 0.6810 ,"1,386","2,034"
1987,43,-,Ronnie Black, 0.6810 ,"1,176","1,728"
1987,44,-,Duffy Waldorf, 0.6800 ,"1,114","1,638"
1987,45,-,Danny Edwards, 0.6800 ,942,"1,386"
1987,45,-,David Frost, 0.6800 ,"1,199","1,764"
1987,47,-,Rocco Mediate, 0.6790 ,"1,137","1,674"
1987,48,-,Howard Twitty, 0.6790 ,"1,149","1,692"
1987,49,-,Mark Lye, 0.6790 ,"1,271","1,872"
1987,50,-,Craig Stadler, 0.6780 ,927,"1,368"
1987,51,-,Tom Kite, 0.6770 ,"1,097","1,620"
1987,52,-,Dan Halldorson, 0.6770 ,"1,060","1,566"
1987,53,-,Fuzzy Zoeller, 0.6770 ,877,"1,296"
1987,54,-,Peter Jacobsen, 0.6770 ,"1,023","1,512"
1987,54,-,Robert Thompson, 0.6770 ,889,"1,314"
1987,56,-,Tom Byrum, 0.6760 ,"1,265","1,872"
1987,57,-,Ed Fiori, 0.6760 ,"1,058","1,566"
1987,58,-,Keith Clearwater, 0.6750 ,"1,434","2,124"
1987,59,-,Dave Rummells, 0.6750 ,"1,336","1,980"
1987,60,-,Larry Mize, 0.6740 ,971,"1,440"
1987,61,-,Jack Renner, 0.6740 ,"1,079","1,602"
1987,62,-,David Canipe, 0.6730 ,"1,018","1,512"
1987,62,-,Greg Norman, 0.6730 ,812,"1,206"
1987,62,-,Tony Sills, 0.6730 ,"1,115","1,656"
1987,65,-,Bob Eastwood, 0.6730 ,"1,127","1,674"
1987,66,-,Buddy Gardner, 0.6730 ,"1,308","1,944"
1987,66,-,Dick Mast, 0.6730 ,"1,199","1,782"
1987,68,-,Bruce Soulsby, 0.6720 ,"1,040","1,548"
1987,69,-,T.C. Chen, 0.6710 ,640,954
1987,70,-,Ken Brown, 0.6700 ,760,"1,134"
1987,71,-,David Ogrin, 0.6700 ,"1,109","1,656"
1987,72,-,Mark Hayes, 0.6690 ,"1,252","1,872"
1987,73,-,Leonard Thompson, 0.6680 ,"1,227","1,836"
1987,74,-,Scott Simpson, 0.6680 ,"1,082","1,620"
1987,75,-,Dan Forsman, 0.6680 ,"1,454","2,178"
1987,76,-,Chip Beck, 0.6670 ,"1,105","1,656"
1987,77,-,Davis Love III, 0.6660 ,"1,019","1,530"
1987,78,-,Steve Elkington, 0.6660 ,"1,210","1,818"
1987,79,-,Raymond Floyd, 0.6650 ,778,"1,170"
1987,80,-,Tim Norris, 0.6650 ,"1,101","1,656"
1987,81,-,Blaine McCallister, 0.6650 ,"1,268","1,908"
1987,81,-,Jeff Sluman, 0.6650 ,"1,292","1,944"
1987,83,-,Jodie Mudd, 0.6640 ,"1,160","1,746"
1987,84,-,Don Pooley, 0.6640 ,"1,100","1,656"
1987,85,-,George Burns, 0.6640 ,"1,219","1,836"
1987,86,-,Ken Green, 0.6640 ,"1,111","1,674"
1987,86,-,Denis Watson, 0.6640 ,"1,123","1,692"
1987,88,-,Sandy Lyle, 0.6640 ,633,954
1987,89,-,Bob Lohr, 0.6630 ,"1,229","1,854"
1987,90,-,Loren Roberts, 0.6630 ,978,"1,476"
1987,91,-,Mike Smith, 0.6620 ,882,"1,332"
1987,92,-,Mark Calcavecchia, 0.6620 ,"1,060","1,602"
1987,93,-,Jay Don Blake, 0.6620 ,"1,155","1,746"
1987,93,-,Payne Stewart, 0.6620 ,"1,155","1,746"
1987,95,-,Gene Sauers, 0.6610 ,"1,238","1,872"
1987,96,-,Billy Pierot, 0.6610 ,678,"1,026"
1987,97,-,Andy Bean, 0.6600 ,653,990
1987,97,-,Trevor Dodds, 0.6600 ,938,"1,422"
1987,99,-,J.C. Snead, 0.6590 ,"1,032","1,566"
1987,100,-,John Cook, 0.6580 ,"1,161","1,764"
1987,101,-,Bernhard Langer, 0.6580 ,687,"1,044"
1987,102,-,Bill Britton, 0.6580 ,971,"1,476"
1987,103,-,Larry Nelson, 0.6570 ,852,"1,296"
1987,104,-,Andy Dillard, 0.6560 ,957,"1,458"
1987,105,-,Hale Irwin, 0.6560 ,826,"1,260"
1987,106,-,"Ray Barr, Jr.", 0.6550 ,932,"1,422"
1987,107,-,Jay Delsing, 0.6550 ,"1,132","1,728"
1987,107,-,Nick Price, 0.6550 ,967,"1,476"
1987,107,-,Ted Schulz, 0.6550 ,849,"1,296"
1987,110,-,Corey Pavin, 0.6550 ,990,"1,512"
1987,110,-,Bill Rogers, 0.6550 ,884,"1,350"
1987,112,-,John Adams, 0.6550 ,"1,143","1,746"
1987,113,-,Gary Hallberg, 0.6540 ,"1,107","1,692"
1987,114,-,Roger Maltbie, 0.6540 ,989,"1,512"
1987,114,-,Mike McCullough, 0.6540 ,836,"1,278"
1987,116,-,Ron Streck, 0.6540 ,"1,130","1,728"
1987,117,-,Steve Jones, 0.6530 ,"1,082","1,656"
1987,118,-,Chris Perry, 0.6530 ,"1,176","1,800"
1987,119,-,Robert Wrenn, 0.6530 ,893,"1,368"
1987,120,-,Larry Rinker, 0.6530 ,"1,104","1,692"
1987,121,-,Bob Tway, 0.6510 ,"1,031","1,584"
1987,122,-,Jim Carter, 0.6510 ,"1,148","1,764"
1987,123,-,Scott Verplank, 0.6500 ,995,"1,530"
1987,124,-,Aki Ohmachi, 0.6500 ,912,"1,404"
1987,125,-,Sam Randolph, 0.6480 ,910,"1,404"
1987,126,-,D.A. Weibring, 0.6480 ,"1,014","1,566"
1987,127,-,Brett Upper, 0.6470 ,943,"1,458"
1987,128,-,Antonio Cerda, 0.6470 ,"1,059","1,638"
1987,129,-,Mike Sullivan, 0.6460 ,989,"1,530"
1987,130,-,Billy Kratzert, 0.6460 ,"1,000","1,548"
1987,131,-,Barry Jaeckel, 0.6450 ,"1,138","1,764"
1987,132,-,David Peoples, 0.6440 ,823,"1,278"
1987,133,-,Brad Faxon, 0.6430 ,"1,053","1,638"
1987,134,-,Phil Blackmar, 0.6430 ,"1,157","1,800"
1987,135,-,Mike Nicolette, 0.6410 ,588,918
1987,136,-,Bobby Clampett, 0.6400 ,944,"1,476"
1987,137,-,Tom Garner, 0.6390 ,920,"1,440"
1987,138,-,Frank Conner, 0.6380 ,620,972
1987,139,-,Willie Wood, 0.6370 ,"1,112","1,746"
1987,140,-,Dave Eichelberger, 0.6370 ,"1,089","1,710"
1987,141,-,Brian Claar, 0.6370 ,"1,180","1,854"
1987,142,-,Lon Hinkle, 0.6360 ,779,"1,224"
1987,143,-,Andy North, 0.6360 ,687,"1,080"
1987,144,-,Mark Wiebe, 0.6350 ,"1,315","2,070"
1987,145,-,Charles Bolling, 0.6350 ,"1,166","1,836"
1987,145,-,"Jim Gallagher, Jr.", 0.6350 ,"1,166","1,836"
1987,147,-,Bob Gilder, 0.6350 ,"1,154","1,818"
1987,148,-,Bill Sander, 0.6350 ,"1,051","1,656"
1987,149,-,Rick Dalpos, 0.6340 ,"1,039","1,638"
1987,150,-,Mike Donald, 0.6330 ,"1,277","2,016"
1987,151,-,John Inman, 0.6330 ,"1,037","1,638"
1987,152,-,Gary Koch, 0.6320 ,808,"1,278"
1987,153,-,Dewey Arnette, 0.6310 ,727,"1,152"
1987,153,-,Ray Stewart, 0.6310 ,977,"1,548"
1987,155,-,Tony Grimes, 0.6310 ,715,"1,134"
1987,156,-,Vance Heafner, 0.6300 ,930,"1,476"
1987,157,-,David Graham, 0.6280 ,678,"1,080"
1987,158,-,Bob Murphy, 0.6280 ,881,"1,404"
1987,159,-,Brad Greer, 0.6250 ,844,"1,350"
1987,160,-,Jeff Lewis, 0.6250 ,697,"1,116"
1987,161,-,Jim Thorpe, 0.6250 ,652,"1,044"
1987,162,-,Brad Fabel, 0.6240 ,820,"1,314"
1987,163,-,Jim Simons, 0.6220 ,616,990
1987,164,-,Fred Wadsworth, 0.6210 ,"1,162","1,872"
1987,165,-,Mike Bender, 0.6200 ,882,"1,422"
1987,166,-,Kenny Knox, 0.6200 ,"1,205","1,944"
1987,167,-,Tom Sieckmann, 0.6190 ,"1,003","1,620"
1987,168,-,Mark Brooks, 0.6190 ,"1,036","1,674"
1987,169,-,Mark Pfeil, 0.6170 ,589,954
1987,170,-,Gary Krueger, 0.6160 ,787,"1,278"
1987,171,-,Ernie Gonzalez, 0.6140 ,"1,161","1,890"
1987,172,-,Pat McGowan, 0.6140 ,995,"1,620"
1987,173,-,John Riegger, 0.6110 ,616,"1,008"
1987,174,-,Rex Caldwell, 0.6090 ,691,"1,134"
1987,175,-,Perry Arthur, 0.6070 ,808,"1,332"
1987,175,-,Rick Fehr, 0.6070 ,677,"1,116"
1987,177,-,Hubert Green, 0.6060 ,774,"1,278"
1987,178,-,Jim Nelford, 0.6030 ,858,"1,422"
1987,179,-,David Hobby, 0.6030 ,716,"1,188"
1987,180,-,Denny Hepler, 0.6020 ,607,"1,008"
1987,181,-,Jim Wilson, 0.6010 ,671,"1,116"
1987,182,-,Doug Johnson, 0.6010 ,789,"1,314"
1987,183,-,Morris Hatalsky, 0.6000 ,842,"1,404"
1987,184,-,John Horne, 0.5940 ,652,"1,098"
1987,185,-,Dave Stockton, 0.5930 ,598,"1,008"
1987,186,-,Philip Jonas, 0.5650 ,610,"1,080"
1987,187,-,Ted Lehmann, 0.5500 ,634,"1,152"
1987,188,-,Woody Blackburn, 0.5400 ,535,990
1988,1,-,John Adams, 0.7390 ,851,"1,152"
1988,2,-,Dave Barr, 0.7360 ,"1,259","1,710"
1988,3,-,Bruce Lietzke, 0.7180 ,"1,124","1,566"
1988,4,-,Tim Norris, 0.7150 ,"1,094","1,530"
1988,5,-,Gene Sauers, 0.7140 ,"1,311","1,836"
1988,6,-,Calvin Peete, 0.7120 ,981,"1,377"
1988,7,-,Dan Pohl, 0.7110 ,"1,177","1,656"
1988,8,-,John Mahaffey, 0.7100 ,"1,303","1,836"
1988,9,-,Chip Beck, 0.7060 ,"1,182","1,674"
1988,10,-,Mark McCumber, 0.7010 ,"1,022","1,458"
1988,11,-,Bill Glasson, 0.7010 ,"1,092","1,558"
1988,12,-,Dillard Pruitt, 0.7010 ,"1,051","1,500"
1988,13,-,Gil Morgan, 0.7000 ,957,"1,368"
1988,14,-,Ben Crenshaw, 0.6980 ,"1,231","1,764"
1988,15,-,Tom Kite, 0.6980 ,"1,080","1,548"
1988,16,-,Tim Simpson, 0.6980 ,"1,268","1,818"
1988,17,-,Mike Hulbert, 0.6970 ,"1,406","2,016"
1988,18,-,Rocco Mediate, 0.6970 ,"1,328","1,905"
1988,19,-,Robert Wrenn, 0.6960 ,"1,291","1,854"
1988,20,-,Wayne Levi, 0.6960 ,"1,008","1,448"
1988,21,-,Fred Couples, 0.6960 ,"1,265","1,818"
1988,22,-,Brad Bryant, 0.6940 ,987,"1,422"
1988,23,-,Tom Purtzer, 0.6920 ,996,"1,440"
1988,24,-,Mark Brooks, 0.6910 ,"1,206","1,746"
1988,25,-,Bobby Wadkins, 0.6900 ,"1,404","2,034"
1988,26,-,David Frost, 0.6890 ,"1,067","1,548"
1988,27,-,Jim Hallet, 0.6890 ,"1,364","1,980"
1988,28,-,Scott Hoch, 0.6890 ,"1,382","2,007"
1988,29,-,"Jim Gallagher, Jr.", 0.6880 ,768,"1,116"
1988,30,-,Peter Jacobsen, 0.6880 ,"1,090","1,584"
1988,31,-,Bob Lohr, 0.6880 ,"1,387","2,016"
1988,32,-,Donnie Hammond, 0.6870 ,"1,261","1,836"
1988,33,-,Joey Sindelar, 0.6870 ,"1,372","1,998"
1988,34,-,Loren Roberts, 0.6850 ,"1,134","1,656"
1988,35,-,Payne Stewart, 0.6850 ,"1,269","1,854"
1988,36,-,Tom Watson, 0.6840 ,800,"1,170"
1988,37,-,Jay Haas, 0.6830 ,"1,227","1,796"
1988,38,-,Tommy Armour III, 0.6820 ,"1,115","1,634"
1988,38,-,Russ Cochran, 0.6820 ,"1,302","1,908"
1988,40,-,Kenny Perry, 0.6820 ,"1,240","1,818"
1988,41,-,Fulton Allem, 0.6810 ,809,"1,188"
1988,42,-,Harry Taylor, 0.6790 ,665,979
1988,43,-,Fuzzy Zoeller, 0.6780 ,939,"1,386"
1988,44,-,Dave Rummells, 0.6770 ,"1,362","2,011"
1988,45,-,Mark Wiebe, 0.6770 ,"1,414","2,088"
1988,46,-,Ron Streck, 0.6770 ,792,"1,170"
1988,47,-,Wayne Grady, 0.6770 ,812,"1,200"
1988,48,-,Billy Ray Brown, 0.6760 ,"1,193","1,764"
1988,49,-,Hal Sutton, 0.6760 ,"1,071","1,584"
1988,50,-,Steve Pate, 0.6750 ,"1,275","1,890"
1988,50,-,J.C. Snead, 0.6750 ,995,"1,475"
1988,52,-,Paul Azinger, 0.6750 ,"1,117","1,656"
1988,52,-,Robert Thompson, 0.6750 ,"1,117","1,656"
1988,54,-,Mike Reid, 0.6740 ,946,"1,404"
1988,55,-,David Ogrin, 0.6730 ,"1,115","1,656"
1988,56,-,Doug Tewell, 0.6730 ,937,"1,392"
1988,57,-,Mark O'Meara, 0.6730 ,"1,102","1,638"
1988,57,-,Duffy Waldorf, 0.6730 ,"1,090","1,620"
1988,59,-,Tom Byrum, 0.6730 ,"1,356","2,016"
1988,59,-,Roger Maltbie, 0.6730 ,"1,017","1,512"
1988,61,-,Curtis Strange, 0.6720 ,"1,069","1,591"
1988,62,-,Mark Calcavecchia, 0.6710 ,"1,426","2,124"
1988,63,-,Dan Halldorson, 0.6710 ,"1,172","1,746"
1988,64,-,Dan Forsman, 0.6710 ,"1,467","2,187"
1988,64,-,D.A. Weibring, 0.6710 ,978,"1,458"
1988,66,-,Scott Verplank, 0.6700 ,"1,158","1,728"
1988,67,-,Steve Elkington, 0.6700 ,"1,109","1,656"
1988,68,-,John Cook, 0.6690 ,"1,205","1,800"
1988,69,-,Ken Green, 0.6690 ,"1,156","1,728"
1988,70,-,Lennie Clements, 0.6690 ,"1,324","1,980"
1988,71,-,Ed Fiori, 0.6680 ,"1,311","1,962"
1988,72,-,Mark Lye, 0.6680 ,"1,135","1,699"
1988,73,-,Curt Byrum, 0.6680 ,"1,190","1,782"
1988,73,-,Brian Tennyson, 0.6680 ,"1,166","1,746"
1988,75,-,David Canipe, 0.6670 ,"1,045","1,566"
1988,76,-,Jay Don Blake, 0.6670 ,"1,309","1,962"
1988,77,-,Tony Sills, 0.6670 ,"1,176","1,764"
1988,77,-,Bruce Soulsby, 0.6670 ,684,"1,026"
1988,79,-,Ronnie Black, 0.6650 ,"1,022","1,536"
1988,80,-,David Peoples, 0.6650 ,"1,157","1,739"
1988,81,-,Mike Sullivan, 0.6640 ,"1,100","1,656"
1988,82,-,"Ray Barr, Jr.", 0.6630 ,716,"1,080"
1988,83,-,Jodie Mudd, 0.6620 ,"1,240","1,872"
1988,84,-,Barry Cheesman, 0.6620 ,846,"1,278"
1988,85,-,Lanny Wadkins, 0.6620 ,"1,120","1,692"
1988,86,-,Larry Nelson, 0.6620 ,822,"1,242"
1988,87,-,Blaine McCallister, 0.6620 ,"1,322","1,998"
1988,88,-,Bob Tway, 0.6620 ,"1,286","1,944"
1988,89,-,Jack Renner, 0.6610 ,"1,107","1,674"
1988,90,-,Dick Mast, 0.6610 ,"1,190","1,800"
1988,91,-,Davis Love III, 0.6610 ,"1,057","1,600"
1988,92,-,George Archer, 0.6600 ,"1,117","1,692"
1988,93,-,Larry Mize, 0.6600 ,974,"1,476"
1988,94,-,Jeff Sluman, 0.6600 ,"1,425","2,160"
1988,95,-,David Edwards, 0.6590 ,961,"1,458"
1988,96,-,Tom Sieckmann, 0.6590 ,925,"1,404"
1988,97,-,Bill Britton, 0.6590 ,"1,138","1,728"
1988,98,-,Lance Ten Broeck, 0.6570 ,934,"1,422"
1988,99,-,Mike Bender, 0.6560 ,921,"1,404"
1988,100,-,Leonard Thompson, 0.6560 ,"1,210","1,845"
1988,101,-,Brad Faxon, 0.6540 ,"1,060","1,620"
1988,102,-,Mike Donald, 0.6540 ,"1,294","1,980"
1988,103,-,Mark Hayes, 0.6500 ,"1,194","1,836"
1988,104,-,Greg Ladehoff, 0.6500 ,"1,158","1,782"
1988,105,-,Rick Pearson, 0.6490 ,"1,040","1,602"
1988,106,-,Bob Eastwood, 0.6490 ,"1,110","1,710"
1988,107,-,Bill Buttner, 0.6490 ,993,"1,530"
1988,108,-,Nick Price, 0.6490 ,981,"1,512"
1988,109,-,Ray Stewart, 0.6490 ,"1,080","1,665"
1988,110,-,Dave Eichelberger, 0.6480 ,"1,057","1,632"
1988,111,-,Barry Jaeckel, 0.6470 ,896,"1,386"
1988,112,-,Buddy Gardner, 0.6460 ,"1,326","2,052"
1988,113,-,Keith Clearwater, 0.6460 ,988,"1,530"
1988,113,-,Andrew Magee, 0.6460 ,"1,081","1,674"
1988,115,-,Clark Burroughs, 0.6450 ,985,"1,527"
1988,116,-,Clarence Rose, 0.6440 ,"1,322","2,052"
1988,117,-,Jim Carter, 0.6440 ,"1,112","1,728"
1988,118,-,Billy Kratzert, 0.6430 ,"1,042","1,620"
1988,119,-,Corey Pavin, 0.6430 ,972,"1,512"
1988,120,-,Pat McGowan, 0.6430 ,"1,064","1,656"
1988,121,-,Ed Dougherty, 0.6420 ,"1,051","1,638"
1988,122,-,Kenny Knox, 0.6410 ,"1,303","2,034"
1988,123,-,Steve Jones, 0.6410 ,"1,003","1,566"
1988,124,-,Brad Fabel, 0.6400 ,"1,152","1,800"
1988,125,-,Joey Rassett, 0.6400 ,781,"1,221"
1988,126,-,John Huston, 0.6400 ,"1,082","1,692"
1988,127,-,Greg Norman, 0.6380 ,592,928
1988,128,-,Danny Edwards, 0.6380 ,700,"1,098"
1988,129,-,Ernie Gonzalez, 0.6370 ,906,"1,422"
1988,130,-,Chris Perry, 0.6370 ,"1,209","1,899"
1988,131,-,Steve Thomas, 0.6360 ,836,"1,314"
1988,132,-,Bob Proben, 0.6360 ,893,"1,404"
1988,133,-,Aki Ohmachi, 0.6350 ,"1,035","1,629"
1988,134,-,Jay Delsing, 0.6350 ,892,"1,404"
1988,135,-,Billy Andrade, 0.6350 ,"1,095","1,724"
1988,136,-,Craig Stadler, 0.6350 ,834,"1,314"
1988,137,-,Bill Sander, 0.6340 ,936,"1,476"
1988,138,-,Ken Brown, 0.6340 ,753,"1,188"
1988,139,-,Danny Briggs, 0.6340 ,673,"1,062"
1988,140,-,Bob Murphy, 0.6340 ,833,"1,315"
1988,141,-,Mike Blackburn, 0.6330 ,923,"1,458"
1988,142,-,Sandy Lyle, 0.6320 ,717,"1,134"
1988,143,-,Tom Pernice Jr., 0.6320 ,990,"1,566"
1988,144,-,Howard Twitty, 0.6320 ,"1,240","1,962"
1988,145,-,Morris Hatalsky, 0.6320 ,819,"1,296"
1988,146,-,Larry Rinker, 0.6320 ,"1,137","1,800"
1988,147,-,Raymond Floyd, 0.6320 ,773,"1,224"
1988,148,-,Hale Irwin, 0.6310 ,841,"1,332"
1988,148,-,Kim Young, 0.6310 ,776,"1,229"
1988,150,-,Tommy Nakajima, 0.6310 ,615,975
1988,151,-,Roy Biancalana, 0.6310 ,806,"1,278"
1988,152,-,Antonio Cerda, 0.6300 ,760,"1,206"
1988,153,-,Gary Koch, 0.6300 ,918,"1,458"
1988,154,-,Bob Gilder, 0.6290 ,"1,030","1,638"
1988,154,-,Hubert Green, 0.6290 ,781,"1,242"
1988,156,-,Jim Booros, 0.6280 ,916,"1,458"
1988,157,-,Jeff Coston, 0.6260 ,755,"1,206"
1988,157,-,Scott Simpson, 0.6260 ,800,"1,278"
1988,159,-,Bobby Clampett, 0.6250 ,"1,007","1,611"
1988,160,-,Bruce Zabriski, 0.6240 ,879,"1,408"
1988,161,-,Sam Randolph, 0.6220 ,881,"1,416"
1988,161,-,Brett Upper, 0.6220 ,881,"1,416"
1988,163,-,Brandel Chamblee, 0.6200 ,814,"1,314"
1988,164,-,Brian Mogg, 0.6190 ,746,"1,206"
1988,165,-,Phil Blackmar, 0.6140 ,829,"1,350"
1988,166,-,Mac O'Grady, 0.6140 ,718,"1,170"
1988,167,-,Mike Hammond, 0.6130 ,817,"1,332"
1988,168,-,Richard Zokol, 0.6120 ,837,"1,368"
1988,169,-,Steve Lowery, 0.6110 ,"1,100","1,800"
1988,170,-,Don Pooley, 0.6100 ,868,"1,422"
1988,171,-,Mike McCullough, 0.6100 ,977,"1,602"
1988,172,-,John Inman, 0.6050 ,"1,110","1,836"
1988,173,-,Andy Bean, 0.6000 ,562,936
1988,173,-,Greg Powers, 0.6000 ,616,"1,026"
1988,175,-,Denis Watson, 0.5990 ,825,"1,377"
1988,176,-,Jim Nelford, 0.5990 ,733,"1,224"
1988,177,-,Rick Fehr, 0.5960 ,826,"1,386"
1988,178,-,George Burns, 0.5950 ,585,983
1988,179,-,Mark Maness, 0.5930 ,630,"1,062"
1988,180,-,Willie Wood, 0.5900 ,847,"1,436"
1988,181,-,Frank Conner, 0.5850 ,599,"1,024"
1988,182,-,Gary Hallberg, 0.5820 ,659,"1,132"
1988,183,-,Paul Trittler, 0.5820 ,660,"1,134"
1988,184,-,Fred Wadsworth, 0.5730 ,732,"1,278"
1988,185,-,Richard Cromwell, 0.5600 ,715,"1,278"
1989,1,22,Bruce Lietzke, 0.7260 ,967,"1,332"
1989,2,30,"Jim Gallagher, Jr.", 0.7100 ,"1,470","2,070"
1989,3,32,Dave Barr, 0.7020 ,"1,162","1,656"
1989,4,32,John Mahaffey, 0.7000 ,"1,328","1,897"
1989,5,33,J.C. Snead, 0.6980 ,"1,080","1,548"
1989,6,33,"Don Shirey, Jr.", 0.6950 ,"1,038","1,494"
1989,7,33,Dave Rummells, 0.6940 ,"1,225","1,764"
1989,7,33,Hal Sutton, 0.6940 ,"1,250","1,800"
1989,9,45,Wayne Levi, 0.6940 ,"1,074","1,548"
1989,10,45,Gil Morgan, 0.6940 ,"1,064","1,534"
1989,11,45,Tommy Armour III, 0.6930 ,"1,328","1,917"
1989,12,45,Tim Simpson, 0.6900 ,"1,348","1,953"
1989,13,45,Paul Azinger, 0.6900 ,"1,155","1,674"
1989,14,45,Mark McCumber, 0.6890 ,843,"1,224"
1989,14,45,Rocco Mediate, 0.6890 ,"1,252","1,818"
1989,16,45,Lennie Clements, 0.6880 ,"1,016","1,476"
1989,17,46,Greg Norman, 0.6870 ,767,"1,116"
1989,18,46,Nolan Henke, 0.6870 ,865,"1,260"
1989,19,46,Lance Ten Broeck, 0.6860 ,987,"1,439"
1989,20,46,Bill Glasson, 0.6850 ,987,"1,440"
1989,21,46,Ted Schulz, 0.6850 ,"1,406","2,052"
1989,22,47,Fuzzy Zoeller, 0.6830 ,816,"1,194"
1989,23,47,Jim Hallet, 0.6830 ,"1,365","1,998"
1989,24,47,David Peoples, 0.6830 ,750,"1,098"
1989,25,47,Kenny Perry, 0.6820 ,"1,019","1,494"
1989,26,47,Bill Buttner, 0.6820 ,"1,031","1,512"
1989,27,48,Billy Ray Brown, 0.6810 ,"1,124","1,650"
1989,28,49,Trevor Dodds, 0.6800 ,710,"1,044"
1989,29,49,Tom Kite, 0.6790 ,"1,088","1,602"
1989,29,49,Craig Stadler, 0.6790 ,978,"1,440"
1989,31,49,Brad Bryant, 0.6790 ,"1,271","1,872"
1989,32,49,Clark Burroughs, 0.6780 ,818,"1,206"
1989,33,49,Tom Pernice Jr., 0.6780 ,769,"1,134"
1989,34,49,Joel Edwards, 0.6770 ,829,"1,224"
1989,35,49,Payne Stewart, 0.6770 ,"1,028","1,518"
1989,36,49,Hale Irwin, 0.6760 ,767,"1,134"
1989,37,49,Tom Purtzer, 0.6760 ,949,"1,404"
1989,38,49,Jay Don Blake, 0.6750 ,"1,054","1,561"
1989,39,49,Steve Elkington, 0.6750 ,"1,203","1,782"
1989,39,49,Doug Tewell, 0.6750 ,960,"1,422"
1989,41,49,Rick Pearson, 0.6750 ,911,"1,350"
1989,42,49,Mike Hulbert, 0.6740 ,"1,432","2,124"
1989,43,50,Mac O'Grady, 0.6730 ,633,940
1989,43,50,Howard Twitty, 0.6730 ,"1,000","1,485"
1989,45,50,Mark Calcavecchia, 0.6730 ,"1,054","1,566"
1989,46,50,Scott Hoch, 0.6730 ,"1,187","1,764"
1989,47,50,Blaine McCallister, 0.6720 ,"1,241","1,848"
1989,48,50,Lanny Wadkins, 0.6710 ,991,"1,476"
1989,49,50,Steve Pate, 0.6710 ,"1,329","1,980"
1989,50,50,Fred Couples, 0.6710 ,"1,075","1,602"
1989,50,50,Richard Zokol, 0.6710 ,924,"1,377"
1989,52,52,Curtis Strange, 0.6700 ,959,"1,431"
1989,53,52,Peter Jacobsen, 0.6690 ,"1,035","1,548"
1989,54,52,Joey Sindelar, 0.6680 ,"1,143","1,710"
1989,55,52,Duffy Waldorf, 0.6670 ,"1,021","1,530"
1989,56,52,"Ray Barr, Jr.", 0.6670 ,756,"1,134"
1989,57,70,Loren Roberts, 0.6660 ,"1,355","2,034"
1989,58,70,Fulton Allem, 0.6660 ,"1,031","1,548"
1989,59,70,Ray Stewart, 0.6660 ,743,"1,116"
1989,60,70,John Adams, 0.6650 ,"1,042","1,566"
